process_name,lifecycle_stage,category_path,location,unit,ref_flow,description,material_tags,semantic_text,Agricultural land occupation,Climate change,Fossil depletion,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity,Ionising radiation,Marine ecotoxicity,Marine eutrophication,Metal depletion,Natural land transformation,Ozone depletion,Particulate matter formation,Photochemical oxidant formation,Terrestrial acidification,Terrestrial ecotoxicity,Urban land occupation,Water depletion
"Waste water treatment, at waste water treatment plant, domestic waste water according to the Directive 91/271/EEC concerning urban waste water treatment",Raw Materials,End-of-life treatment > Waste water treatment,EU-27,kg,waste water - untreated,,water,"Process: Waste water treatment, at waste water treatment plant, domestic waste water according to the Directive 91/271/EEC concerning urban waste water treatment | Category: End-of-life treatment > Waste water treatment | Lifecycle Stage: Raw Materials | Location: EU-27 | Materials: water | Unit: 1 kg | Reference Flow: waste water - untreated | Description:  | Water depletion: -0.0009 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0001 | Particulate matter formation: 0.0 | Terrestrial acidification: 0.0001 | Climate change: 0.0286 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0001 | Ionising radiation: 0.0001 | Metal depletion: 0.0 | Freshwater eutrophication: 0.0",-0.0,0.02859773,-0.0,3.4e-07,2e-08,0.000144,0.00010996,1.55e-06,4.58e-06,4.02e-06,-0.0,0.0,1.891e-05,6.112e-05,5.978e-05,1.6e-07,-0.0,-0.00089783
"Plane, technology mix, cargo, 68 t payload",Raw Materials,Transport services > Air,GLO,kg,cargo,,other,"Process: Plane, technology mix, cargo, 68 t payload | Category: Transport services > Air | Lifecycle Stage: Raw Materials | Location: GLO | Materials: other | Unit: 1 kg | Reference Flow: cargo | Description: ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Process steam from heavy fuel oil, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,RO,MJ,process steam from heavy fuel oil,,other,"Process: Process steam from heavy fuel oil, consumption mix, at plant, heat plant, MJ | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: RO | Materials: other | Unit: 1 MJ | Reference Flow: process steam from heavy fuel oil | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0004 | Marine eutrophication: 0.0 | Human toxicity: 0.02 | Particulate matter formation: 0.0004 | Terrestrial acidification: 0.0017 | Climate change: 0.098 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0005 | Ionising radiation: 0.0001 | Metal depletion: 0.0001 | Freshwater eutrophication: 0.0",0.0,0.09803937,0.0,2.161e-05,5.8e-07,0.019984,0.00012066,0.00036797,1.532e-05,6.949e-05,0.0,0.0,0.00043467,0.000513,0.00166151,3.065e-05,0.0,6.76e-06
"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,BE,MJ,process steam from light fuel oil,,other,"Process: Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: BE | Materials: other | Unit: 1 MJ | Reference Flow: process steam from light fuel oil | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0004 | Particulate matter formation: 0.0001 | Terrestrial acidification: 0.0002 | Climate change: 0.0935 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0002 | Ionising radiation: 0.0002 | Metal depletion: 0.0 | Freshwater eutrophication: 0.0",0.0,0.09350463,0.0,2.25e-06,3e-07,0.00040303,0.00023512,2.613e-05,6.96e-06,2.705e-05,0.0,0.0,5.934e-05,0.0001882,0.0001863,3.7e-07,0.0,8.43e-06
"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,PT,MJ,process steam from light fuel oil,,other,"Process: Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: PT | Materials: other | Unit: 1 MJ | Reference Flow: process steam from light fuel oil | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0006 | Particulate matter formation: 0.0001 | Terrestrial acidification: 0.0004 | Climate change: 0.1002 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0004 | Ionising radiation: 0.0 | Metal depletion: 0.0 | Freshwater eutrophication: 0.0",0.0,0.10020162,0.0,2.29e-06,1.6e-07,0.00055142,2.158e-05,2.998e-05,1.567e-05,2.067e-05,0.0,0.0,0.0001217,0.00043761,0.00037123,6e-07,0.0,7.99e-06
"Electricity Mix, consumption mix, at consumer, AC, 230V",Product-as-a-Service,Energy carriers and technologies > Electricity,NO,MJ,electricity mix,,other,"Process: Electricity Mix, consumption mix, at consumer, AC, 230V | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: NO | Materials: other | Unit: 1 MJ | Reference Flow: electricity mix | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0003 | Particulate matter formation: 0.0 | Terrestrial acidification: 0.0 | Climate change: 0.0311 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0 | Ionising radiation: 0.0002 | Metal depletion: 0.0003 | Freshwater eutrophication: 0.0",0.0,0.03109512,0.0,5.16e-06,1e-08,0.00025086,0.00015422,8.1e-07,8.5e-07,0.00034512,0.0,0.0,8.16e-06,2.287e-05,1.856e-05,1.1e-07,0.0,4.348e-05
"Diesel mix at refinery, production mix, at refinery, from crude oil and bio components, fuel supply, 10 ppm sulphur, 5.75 wt.% bio components",Product-as-a-Service,Energy carriers and technologies > Crude oil based fuels,EU-27,kg,Diesel,,crude oil,"Process: Diesel mix at refinery, production mix, at refinery, from crude oil and bio components, fuel supply, 10 ppm sulphur, 5.75 wt.% bio components | Category: Energy carriers and technologies > Crude oil based fuels | Lifecycle Stage: Product-as-a-Service | Location: EU-27 | Materials: crude oil | Unit: 1 kg | Reference Flow: Diesel | Description:  | Water depletion: 0.0019 | Freshwater ecotoxicity: 0.0002 | Marine ecotoxicity: 0.0015 | Marine eutrophication: 0.0003 | Human toxicity: 0.0651 | Particulate matter formation: 0.0008 | Urban land occupation: 0.1003 | Agricultural land occupation: 0.0669 | Terrestrial acidification: 0.0034 | Climate change: 0.484 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.002 | Ionising radiation: 0.0052 | Metal depletion: 0.0019 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",0.0668682,0.48400947,0.0,0.00019433,3.11e-06,0.06514696,0.00516857,0.00145808,0.0002639,0.00190828,-1.2e-06,0.0,0.00082456,0.00195566,0.00338841,4.448e-05,0.10030229,0.00192657
"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,IE,MJ,process steam from light fuel oil,,other,"Process: Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: IE | Materials: other | Unit: 1 MJ | Reference Flow: process steam from light fuel oil | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0004 | Particulate matter formation: 0.0001 | Terrestrial acidification: 0.0002 | Climate change: 0.0935 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0003 | Ionising radiation: 0.0002 | Metal depletion: 0.0 | Freshwater eutrophication: 0.0",0.0,0.09345065,0.0,2.24e-06,3e-07,0.00040158,0.00023335,2.612e-05,9.99e-06,2.702e-05,0.0,0.0,7.79e-05,0.00026857,0.00024284,3.7e-07,0.0,8.41e-06
"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,BG,MJ,process steam,,natural gas,"Process: Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: BG | Materials: natural gas | Unit: 1 MJ | Reference Flow: process steam | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0002 | Particulate matter formation: 0.0 | Urban land occupation: 0.0 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0001 | Climate change: 0.0722 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0001 | Ionising radiation: 0.0002 | Metal depletion: 0.0001 | Natural land transformation: -0.0",1.179e-05,0.07216489,0.0,3.17e-06,0.0,0.00020936,0.00017985,3.3e-06,3.59e-06,0.00014677,-1e-07,0.0,3.211e-05,0.00010366,9.629e-05,7e-08,1.768e-05,4.748e-05
"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,CZ,MJ,process steam,,other,"Process: Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: CZ | Materials: other | Unit: 1 MJ | Reference Flow: process steam | Description:  | Water depletion: 0.0001 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0002 | Marine eutrophication: 0.0 | Human toxicity: 0.0098 | Particulate matter formation: 0.0002 | Urban land occupation: 0.0 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0008 | Climate change: 0.1073 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0003 | Ionising radiation: 0.0002 | Metal depletion: 0.0001 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",1.084e-05,0.10731245,0.0,1.074e-05,2e-08,0.00979815,0.00017947,0.00015993,7.62e-06,0.00012089,-1e-07,0.0,0.000196,0.00025219,0.00075813,1.386e-05,1.626e-05,5.434e-05
"Process steam from Light fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,CZ,MJ,process steam,,other,"Process: Process steam from Light fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: CZ | Materials: other | Unit: 1 MJ | Reference Flow: process steam | Description:  | Water depletion: 0.0001 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0003 | Particulate matter formation: 0.0001 | Urban land occupation: 0.0 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0002 | Climate change: 0.107 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0002 | Ionising radiation: 0.0002 | Metal depletion: 0.0001 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",1.168e-05,0.10699848,0.0,3.09e-06,2e-08,0.00031922,0.00018863,6.62e-06,7.46e-06,0.00012826,-1e-07,0.0,6.97e-05,0.00020474,0.00020915,1.9e-07,1.752e-05,6.038e-05
"Electricity Mix, consumption mix, at consumer, AC, 125-220V",Product-as-a-Service,Energy carriers and technologies > Electricity,IT,MJ,electricity mix,,other,"Process: Electricity Mix, consumption mix, at consumer, AC, 125-220V | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: IT | Materials: other | Unit: 1 MJ | Reference Flow: electricity mix | Description:  | Water depletion: 0.0014 | Freshwater ecotoxicity: 0.0001 | Marine ecotoxicity: 0.0002 | Ozone depletion: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0223 | Particulate matter formation: 0.0009 | Terrestrial acidification: 0.0034 | Climate change: 0.7181 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0016 | Ionising radiation: 0.0479 | Metal depletion: 0.0003 | Freshwater eutrophication: 0.0",0.0,0.71808732,0.0,6.844e-05,1.84e-06,0.02225238,0.04789113,0.00020561,4.998e-05,0.00032724,0.0,4e-08,0.00089626,0.00155278,0.00338826,1.442e-05,0.0,0.00142988
"Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,AT,MJ,process steam,,natural gas,"Process: Process steam from natural gas 90%, consumption mix, at power plant, heat plant, MJ, 90 % efficiency | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: AT | Materials: natural gas | Unit: 1 MJ | Reference Flow: process steam | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0002 | Particulate matter formation: 0.0 | Urban land occupation: 0.0 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0001 | Climate change: 0.0829 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0001 | Ionising radiation: 0.0 | Metal depletion: 0.0001 | Natural land transformation: -0.0",9.15e-06,0.08289811,0.0,2.54e-06,0.0,0.00018875,2.454e-05,2.83e-06,2.51e-06,0.00011273,-4e-08,0.0,1.873e-05,8.22e-05,5.518e-05,3e-08,1.373e-05,3.656e-05
"Diesel, consumption mix, at refinery, from crude oil, 200 ppm sulphur",Raw Materials,Energy carriers and technologies > Crude oil based fuels,EU-15,kg,diesel,,crude oil,"Process: Diesel, consumption mix, at refinery, from crude oil, 200 ppm sulphur | Category: Energy carriers and technologies > Crude oil based fuels | Lifecycle Stage: Raw Materials | Location: EU-15 | Materials: crude oil | Unit: 1 kg | Reference Flow: diesel | Description:  | Water depletion: 0.0003 | Freshwater ecotoxicity: 0.0001 | Marine ecotoxicity: 0.001 | Ozone depletion: 0.0 | Marine eutrophication: 0.0001 | Human toxicity: 0.013 | Particulate matter formation: 0.0006 | Terrestrial acidification: 0.0023 | Climate change: 0.4063 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0015 | Ionising radiation: 0.0088 | Metal depletion: 0.0008 | Freshwater eutrophication: 0.0",0.0,0.40631177,0.0,8.432e-05,1.14e-05,0.01298035,0.00880628,0.00100765,5.001e-05,0.00083845,0.0,1e-08,0.00059226,0.00153244,0.00225608,1.18e-05,0.0,0.00031967
"Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency",Product-as-a-Service,Energy carriers and technologies > Heat and steam,NO,MJ,process steam,,other,"Process: Process steam from Heavy fuel oil 90 %, consumption mix, at power plant, heat plant, MJ, 90 % efficiency | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: NO | Materials: other | Unit: 1 MJ | Reference Flow: process steam | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0001 | Marine eutrophication: 0.0 | Human toxicity: 0.0012 | Particulate matter formation: 0.0 | Urban land occupation: 0.0 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0002 | Climate change: 0.1038 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0001 | Ionising radiation: 0.0 | Metal depletion: 0.0 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",2e-06,0.10375744,0.0,1.32e-06,2e-08,0.00121475,1.283e-05,0.00010392,4.6e-06,4.629e-05,-1e-08,0.0,4.649e-05,0.00010677,0.00015333,1.03e-06,3e-06,1.525e-05
"Electricity grid mix, consumption mix, at consumer, AC, 230V",Product-as-a-Service,Energy carriers and technologies > Electricity,SE,MJ,Electricity,,other,"Process: Electricity grid mix, consumption mix, at consumer, AC, 230V | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: SE | Materials: other | Unit: 1 MJ | Reference Flow: Electricity | Description:  | Water depletion: 0.0063 | Freshwater ecotoxicity: 0.0002 | Marine ecotoxicity: 0.0001 | Marine eutrophication: 0.0 | Human toxicity: 0.007 | Particulate matter formation: 0.0001 | Urban land occupation: 0.0 | Agricultural land occupation: 0.0 | Terrestrial acidification: 0.0002 | Climate change: 0.0564 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0002 | Ionising radiation: 0.1744 | Metal depletion: 0.0042 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",1.553e-05,0.0564323,0.0,0.00017541,2e-08,0.00698956,0.17439269,6.064e-05,7.14e-06,0.00417254,-2.7e-07,0.0,5.058e-05,0.00015036,0.00015216,3.45e-06,2.33e-05,0.00625337
"Electricity Mix, consumption mix, at consumer, AC, 240V",Product-as-a-Service,Energy carriers and technologies > Electricity,CY,MJ,electricity mix,,other,"Process: Electricity Mix, consumption mix, at consumer, AC, 240V | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: CY | Materials: other | Unit: 1 MJ | Reference Flow: electricity mix | Description:  | Water depletion: 0.0018 | Freshwater ecotoxicity: 0.0001 | Marine ecotoxicity: 0.0008 | Marine eutrophication: 0.0001 | Human toxicity: 0.037 | Particulate matter formation: 0.0031 | Terrestrial acidification: 0.0127 | Climate change: 1.0235 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0028 | Ionising radiation: 0.0004 | Metal depletion: 0.0004 | Freshwater eutrophication: 0.0",0.0,1.02354768,0.0,5.654e-05,5.52e-06,0.0369645,0.00039853,0.00076177,7.579e-05,0.00035538,0.0,0.0,0.00308729,0.00282279,0.0127021,4.864e-05,0.0,0.00178225
"Steel rebar, production mix, at plant, blast furnace and electric arc furnace route,",Raw Materials,Materials production > Metals and semimetals,GLO,kg,steel rebar,,steel,"Process: Steel rebar, production mix, at plant, blast furnace and electric arc furnace route, | Category: Materials production > Metals and semimetals | Lifecycle Stage: Raw Materials | Location: GLO | Materials: steel | Unit: 1 kg | Reference Flow: steel rebar | Description:  | Water depletion: 0.0038 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0004 | Marine eutrophication: 0.0001 | Human toxicity: 0.1016 | Particulate matter formation: 0.0014 | Terrestrial acidification: 0.0028 | Climate change: 1.0303 | Terrestrial ecotoxicity: 0.0001 | Photochemical oxidant formation: 0.0021 | Metal depletion: 0.3134 | Freshwater eutrophication: 0.0",0.0,1.03031688,0.0,1.245e-05,5.19e-06,0.10158545,0.0,0.00043434,0.00012169,0.3134463,0.0,0.0,0.00143204,0.00209447,0.00279952,6.813e-05,0.0,0.00381828
"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,RO,MJ,process steam from natural gas,,natural gas,"Process: Process steam from natural gas, consumption mix, at plant, heat plant, MJ | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: RO | Materials: natural gas | Unit: 1 MJ | Reference Flow: process steam from natural gas | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0004 | Particulate matter formation: 0.0001 | Terrestrial acidification: 0.0002 | Climate change: 0.0705 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0002 | Ionising radiation: 0.0001 | Metal depletion: 0.0001 | Freshwater eutrophication: 0.0",0.0,0.07049969,0.0,2.27e-06,3.1e-07,0.00039675,0.00011516,3.49e-06,9.24e-06,6.775e-05,0.0,0.0,6.617e-05,0.00024821,0.00018361,2.8e-07,0.0,2.59e-06
"Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,IT,MJ,Electricity,,other,"Process: Electricity grid mix 1kV-60kV, consumption mix, at consumer, AC, 1kV - 60kV | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: IT | Materials: other | Unit: 1 MJ | Reference Flow: Electricity | Description:  | Water depletion: 0.0039 | Freshwater ecotoxicity: 0.0001 | Marine ecotoxicity: 0.0001 | Ozone depletion: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0111 | Particulate matter formation: 0.0003 | Urban land occupation: 0.0001 | Agricultural land occupation: 0.0001 | Terrestrial acidification: 0.001 | Climate change: 0.536 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0008 | Ionising radiation: 0.0205 | Metal depletion: 0.0018 | Freshwater eutrophication: 0.0 | Natural land transformation: -0.0",6.528e-05,0.53597915,0.0,7.45e-05,3e-08,0.01107963,0.02054908,8.099e-05,2.694e-05,0.00180508,-3.01e-06,1e-08,0.00029674,0.00077876,0.00103796,3.42e-06,9.792e-05,0.00393357
"Plane, technology mix, cargo, 68 t payload",Raw Materials,Transport services > Air,RER,t*km,transport in t*km,,other,"Process: Plane, technology mix, cargo, 68 t payload | Category: Transport services > Air | Lifecycle Stage: Raw Materials | Location: RER | Materials: other | Unit: 1 t*km | Reference Flow: transport in t*km | Description:  | Water depletion: 0.0002 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0006 | Marine eutrophication: 0.0004 | Human toxicity: 0.0065 | Particulate matter formation: 0.0026 | Terrestrial acidification: 0.0066 | Climate change: 2.0947 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0106 | Ionising radiation: 0.0039 | Metal depletion: 0.0005 | Freshwater eutrophication: 0.0",0.0,2.09467561,0.0,4.652e-05,6.63e-06,0.00651457,0.00388947,0.00057491,0.00040258,0.00048905,0.0,0.0,0.00256613,0.01056325,0.00664417,5.52e-06,0.0,0.00019503
"Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,FI,MJ,process steam from light fuel oil,,other,"Process: Process steam from light fuel oil, consumption mix, at plant, heat plant, MJ | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: FI | Materials: other | Unit: 1 MJ | Reference Flow: process steam from light fuel oil | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0004 | Particulate matter formation: 0.0001 | Terrestrial acidification: 0.0003 | Climate change: 0.0939 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0002 | Ionising radiation: 0.0002 | Metal depletion: 0.0 | Freshwater eutrophication: 0.0",0.0,0.0939481,0.0,2.2e-06,3e-07,0.0003976,0.00023433,2.609e-05,7.73e-06,2.704e-05,0.0,0.0,7.42e-05,0.0002144,0.00025443,3.7e-07,0.0,8.43e-06
"Gypsum plaster (CaSO4 beta hemihydrates), production mix, at plant, technology mix of natural gypsum (45%) and gypsum from flue gas desulphurisation (55%), grinded and purified product",Raw Materials,Materials production > Other mineral materials,DE,kg,gypsum plaster (CaSO4 beta hemihydrates),,other,"Process: Gypsum plaster (CaSO4 beta hemihydrates), production mix, at plant, technology mix of natural gypsum (45%) and gypsum from flue gas desulphurisation (55%), grinded and purified product | Category: Materials production > Other mineral materials | Lifecycle Stage: Raw Materials | Location: DE | Materials: other | Unit: 1 kg | Reference Flow: gypsum plaster (CaSO4 beta hemihydrates) | Description:  | Water depletion: 0.0001 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0009 | Particulate matter formation: 0.0 | Terrestrial acidification: 0.0001 | Climate change: 0.1088 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0001 | Ionising radiation: 0.0045 | Metal depletion: 0.0001 | Freshwater eutrophication: 0.0",0.0,0.10882137,0.0,6.82e-06,4e-07,0.00086313,0.0045181,8.46e-06,4.51e-06,5.852e-05,0.0,0.0,4.052e-05,0.00011546,0.00012242,4.9e-07,0.0,0.00014458
"Process steam from natural gas, consumption mix, at plant, heat plant, MJ",Product-as-a-Service,Energy carriers and technologies > Heat and steam,PT,MJ,process steam from natural gas,,natural gas,"Process: Process steam from natural gas, consumption mix, at plant, heat plant, MJ | Category: Energy carriers and technologies > Heat and steam | Lifecycle Stage: Product-as-a-Service | Location: PT | Materials: natural gas | Unit: 1 MJ | Reference Flow: process steam from natural gas | Description:  | Water depletion: 0.0 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0002 | Particulate matter formation: 0.0 | Terrestrial acidification: 0.0001 | Climate change: 0.0835 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0001 | Ionising radiation: 0.0 | Metal depletion: 0.0 | Freshwater eutrophication: 0.0",0.0,0.08350422,0.0,5.8e-07,6e-08,0.00020129,1.602e-05,1.49e-06,3.44e-06,1.999e-05,0.0,0.0,3.056e-05,0.00011437,9.691e-05,1.3e-07,0.0,2.8e-06
"Spruce wood, production mix, at saw mill, timber, 40% water content",Raw Materials,Materials production > Wood,DE,kg,spruce wood,,"wood, water, timber","Process: Spruce wood, production mix, at saw mill, timber, 40% water content | Category: Materials production > Wood | Lifecycle Stage: Raw Materials | Location: DE | Materials: wood, water, timber | Unit: 1 kg | Reference Flow: spruce wood | Description:  | Water depletion: 0.0008 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0 | Marine eutrophication: 0.0 | Human toxicity: 0.0003 | Particulate matter formation: 0.0 | Terrestrial acidification: 0.0001 | Climate change: 0.0269 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0002 | Ionising radiation: 0.0028 | Metal depletion: 0.0004 | Freshwater eutrophication: 0.0",0.0,0.02693797,0.0,3.42e-06,8e-08,0.0003297,0.0028359,4.11e-06,5.52e-06,0.00035265,0.0,0.0,4.43e-05,0.00020871,0.00010367,4.9e-07,0.0,0.00083216
"Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV",Product-as-a-Service,Energy carriers and technologies > Electricity,IE,MJ,electricity mix,,other,"Process: Electricity Mix, consumption mix, at consumer, AC, 1kV - 60kV | Category: Energy carriers and technologies > Electricity | Lifecycle Stage: Product-as-a-Service | Location: IE | Materials: other | Unit: 1 MJ | Reference Flow: electricity mix | Description:  | Water depletion: 0.0014 | Freshwater ecotoxicity: 0.0 | Marine ecotoxicity: 0.0001 | Marine eutrophication: 0.0001 | Human toxicity: 0.0208 | Particulate matter formation: 0.0011 | Terrestrial acidification: 0.004 | Climate change: 0.8238 | Terrestrial ecotoxicity: 0.0 | Photochemical oxidant formation: 0.0018 | Ionising radiation: 0.0029 | Metal depletion: 0.0002 | Freshwater eutrophication: 0.0",0.0,0.82377743,0.0,1.913e-05,9e-08,0.02082253,0.00289092,0.00014873,6.126e-05,0.00017473,0.0,0.0,0.0010963,0.00181753,0.0040003,1.681e-05,0.0,0.00144606
